timestamp,hour,day_type,month,h0_kwh_per_hour
2025-01-04T09:00,9,SA,1,127.8184926174493835069154753300650987695
2025-01-04T10:00,10,SA,1,138.0054791768166232177954384344480437784
2025-01-04T11:00,11,SA,1,151.7944111459984664124103103451285856809
2025-01-04T12:00,12,SA,1,151.3257677065230050750769944370531685705
2025-01-04T13:00,13,SA,1,145.0381348935605654658550060037079890058
2025-01-04T14:00,14,SA,1,141.2869846280155266418152594403521930751
2025-01-04T15:00,15,SA,1,141.1838430163360981850944655546005521298
2025-01-04T16:00,16,SA,1,149.9118263891312285615841695178170810493
2025-01-04T17:00,17,SA,1,170.0634942865760660669167535650600167970
2025-01-04T18:00,18,SA,1,176.7136248027225163686914350726002839556
2025-01-04T19:00,19,SA,1,166.5536753648634763503499325013755360876
2025-01-04T20:00,20,SA,1,148.8303415288032408600457481914891954099
